Z mean train,Q Predictions Max,Q Predictions Mean,Number of env steps total,Train Time (s),Q Predictions Min,QF Loss,RF Loss,KL Divergence,Policy log std Max,Policy Loss,Sample Time (s),Number of rollouts total,Policy log std Mean,Epoch,Log Pis Std,Epoch Time (s),KL Loss,Z mean eval,AverageReturn_all_train_tasks,R Predictions Mean,Policy log std Std,AverageReturn_all_test_tasks,Log Pis Mean,Policy log std Min,R Predictions Max,Q Predictions Std,R Predictions Std,VF Loss,V Predictions Std,V Predictions Min,Number of train steps total,Total Train Time (s),Log Pis Max,Z variance eval,Policy mu Std,Z variance train,Log Pis Min,Policy mu Min,R Predictions Min,V Predictions Max,Policy mu Mean,V Predictions Mean,(Previous) Eval Time (s),Policy mu Max
0.0336582,77.6387,48.2508,540000,106.27082401699954,-95.4632,43.3911,2.41246,0.1799359917640686,0.00330486,-50.8015,32.935349657003826,6700,-0.137556,30,0.456573,237.14223936500275,0.01799359917640686,0.0152289,-21.904348684,-0.00456245,0.0178549,-21.9014011781,-2.65801,-0.413875,-0.00340246,20.7276,0.000525794,1.39665,20.6846,-92.1699,31000,7454.682014563988,2.97239,0.87541,0.170385,0.933057,-5.2946,-1.70751,-0.00583356,65.7362,0.00496315,50.1875,97.93606569099938,1.35577
0.0148557,121.124,47.1993,555000,106.35051100200144,-90.5661,41.8095,2.71706,0.5774071216583252,0.00770193,-49.2288,32.88090030900639,6900,-0.138194,31,0.469376,236.61157877800724,0.0577407144010067,0.0137993,-21.7134722821,-0.00463322,0.0185079,-21.7935840661,-2.65889,-0.524073,-0.00308195,22.4171,0.000546016,3.58357,22.4283,-86.9214,32000,7691.020961326999,3.34203,0.944557,0.16801,0.853254,-6.04887,-1.62533,-0.00589823,116.074,0.0157936,50.5973,97.38016746699941,1.49595
0.0137526,122.64,50.432,570000,105.2148570979989,-83.7252,42.4674,2.42722,0.11011119931936264,-0.00713848,-52.8166,33.08362870200108,7100,-0.139214,32,0.440486,235.40695152099943,0.011011119931936264,0.0109831,-21.8285004945,-0.0045484,0.0186975,-21.8267764021,-2.65865,-0.409395,-0.00340632,19.3321,0.000558142,1.76029,19.1499,-80.1331,33000,7926.502367171995,0.719873,0.954752,0.162769,0.940944,-5.12982,-1.24189,-0.00597055,126.915,0.00466593,53.2164,97.10846572099945,1.10896
0.0109056,63.561,49.1082,585000,105.59062471200014,-103.79,43.1504,2.40443,0.07677281647920609,0.0443346,-52.22,32.97054297500108,7300,-0.135438,33,0.462517,235.74429769400194,0.007677281741052866,0.00957361,-21.7826764643,-0.00466172,0.018675,-21.7464915992,-2.66572,-0.379788,-0.00341465,20.5682,0.000417436,1.4226,20.3199,-99.3275,34000,8162.285614879997,2.37525,0.970006,0.161872,0.947933,-7.00885,-1.44199,-0.00576149,66.3641,0.00305671,52.2301,97.18313000700073,0.957544
0.00960335,64.0302,48.5377,600000,104.92082331900019,-130.124,44.0584,2.50281,0.03561922907829285,0.0713701,-50.7841,32.64514238300217,7500,-0.1415,34,0.47121,234.788091532002,0.003561923047527671,0.011556,-23.0297839553,-0.00448685,0.0191218,-23.1671149668,-2.65256,-0.308894,-0.00352935,21.6009,0.000438647,0.903489,21.5177,-124.625,35000,8396.599637829,0.708314,0.919232,0.175735,0.972768,-5.59347,-1.21648,-0.0057188,66.1097,-0.000311378,50.8094,97.22212582999964,0.990501
0.0115429,63.6403,51.0552,615000,105.84764551199987,-88.8305,30.1989,2.38567,0.2196979969739914,-0.0230235,-53.929,32.636422863004555,7700,-0.137158,35,0.455852,235.23288137500458,0.02196980081498623,0.00723928,-22.3195914429,-0.00457801,0.0186631,-22.2921435063,-2.65695,-0.273415,-0.00353293,18.3106,0.000484565,1.00915,18.2592,-87.028,36000,8631.627954373005,-0.269777,0.936193,0.166609,0.918141,-5.10859,-0.909227,-0.00631103,66.4843,0.010772,53.8692,96.74881300000015,0.922795
0.00712356,128.029,49.7658,630000,105.47323147399948,-101.741,34.7078,2.555,0.17891782522201538,0.0517643,-52.3813,32.63816176600449,7900,-0.137721,36,0.462935,234.65638585000306,0.017891783267259598,0.00721166,-22.1444763961,-0.00464344,0.0197366,-22.1613448673,-2.64569,-0.314179,-0.00343525,20.6228,0.000493623,1.49199,20.5442,-97.3938,37000,8866.40181254801,1.00044,0.931132,0.175034,0.919627,-5.63066,-1.14479,-0.00598594,129.41,0.0114276,52.3761,96.5449926099991,0.983536
0.00723306,63.8677,49.4553,645000,105.51074067700029,-137.191,38.8769,2.42443,0.15456044673919678,0.0588106,-52.3649,32.463554954001665,8100,-0.138019,37,0.46468,234.63728080700093,0.015456045046448708,0.00500023,-21.8354498256,-0.00457799,0.0181615,-21.9478486486,-2.65943,-0.394508,-0.00327209,20.2421,0.000471544,1.16456,20.2044,-126.97,38000,9101.055553570015,1.31283,0.96561,0.165853,0.934143,-5.89459,-1.21371,-0.00578844,66.5418,0.00267371,52.6214,96.66298517599898,1.02515
0.0049506,63.6804,49.7229,660000,103.73206799099898,-95.8804,31.9176,2.41289,0.05101121962070465,0.0774301,-52.704,32.640958598994985,8300,-0.136375,38,0.449464,233.05242662699493,0.005101121962070465,0.0162367,-22.3790849114,-0.00476165,0.0187271,-22.3633868867,-2.65576,-0.31494,-0.00372664,20.6272,0.000472744,1.13312,20.5329,-93.2756,39000,9333.825700097004,3.47707,0.951175,0.161857,0.956021,-6.42016,-1.21873,-0.00608329,65.768,-0.0112077,52.0411,96.67940003700096,0.812594
0.0160521,63.9489,50.2242,675000,103.74395712299884,-108.736,45.2197,2.34617,0.10450097173452377,0.0382549,-52.7185,32.65077057000053,8500,-0.137016,39,0.443776,232.79258564799784,0.010450097732245922,0.0127346,-22.5300143795,-0.00452712,0.0172264,-22.4738898091,-2.65746,-0.33337,-0.00354601,19.8368,0.000375276,1.05025,19.9691,-111.79,40000,9566.757015788004,1.40215,0.926298,0.164174,0.94104,-5.3498,-1.47313,-0.00556193,66.5325,0.00696627,52.7888,96.39785795499847,0.895453
