Policy log std Mean,Q Predictions Std,Policy mu Std,Train Time (s),V Predictions Mean,R Predictions Max,QF Loss,Policy mu Min,VF Loss,Q Predictions Mean,AverageReturn_all_test_tasks,Policy Loss,R Predictions Min,(Previous) Eval Time (s),V Predictions Std,Log Pis Mean,Z mean eval,Total Train Time (s),Z variance eval,Policy log std Max,Policy log std Std,Policy mu Mean,V Predictions Min,Sample Time (s),Epoch Time (s),Q Predictions Min,KL Divergence,RF Loss,V Predictions Max,KL Loss,Log Pis Max,Epoch,R Predictions Mean,Number of train steps total,Log Pis Std,Z variance train,AverageReturn_all_train_tasks,Z mean train,Q Predictions Max,Policy log std Min,R Predictions Std,Number of env steps total,Policy mu Max,Number of rollouts total,Log Pis Min
-0.228936,2722.92,1.313,104.74221957200007,1107.02,0.00373054,309987.0,-6.80317,2315.51,1081.54,-53.7522353173,-1105.75,-0.00196344,94.53726142300002,2772.09,0.827865,0.846383,7247.498237815001,0.0468965,0.85861,0.214307,0.106832,29.5614,31.936520648000624,231.2160016430007,21.9763,4395.080078125,17.3299,35259.6,439.5080261230469,33.3073,30,0.00115019,31000,6.82648,0.308147,-45.6124364621,6.65566,35814.9,-1.178,0.00149212,540000,14.4717,6700,-6.18014
-0.201047,1404.71,1.03268,102.79712027000005,488.824,0.00378068,47193.6,-3.75856,1752.62,454.664,-42.2354446644,-471.313,-0.000382365,93.71076110600006,1480.23,-0.39902,2.69049,7475.080769876998,0.130666,0.483565,0.189274,0.0052154,27.7078,31.289832708997892,227.797714084998,20.3178,2144.7294921875,15.4734,11114.9,214.4729461669922,26.9,31,0.0014558,32000,5.33924,0.338487,-49.2804608115,7.54879,10343.7,-0.832765,0.000991242,555000,5.45887,6900,-5.50087
-0.339119,2244.96,1.96753,104.34304543899998,992.714,0.00390893,38174.5,-41.9522,1846.89,987.349,-50.8021401429,-1004.63,-0.000116737,93.49597307899967,2314.07,3.93484,0.36612,7705.407738074,0.0275238,2.0,0.28165,0.252681,22.2379,31.87473878900073,229.71375730700038,18.9664,970.1135864257812,15.3212,65211.0,97.01136016845703,45.0863,32,0.00212319,33000,8.11388,0.0714933,-48.1878944638,1.31671,63155.6,-1.00721,0.000941922,570000,79.8779,7100,-7.08134
-0.327215,4732.93,2.89831,103.95516583400058,2748.78,0.00384955,744282.0,-54.1341,10936.6,2708.26,-57.9351475618,-2749.71,-0.000284084,94.10959559000003,4806.23,5.39754,0.327839,7934.678717554002,0.0277184,2.0,0.349088,0.376002,21.1307,31.56664831800208,229.6314097420027,16.5531,1255.441162109375,15.4895,42524.6,125.54412078857422,40.342,33,0.00201511,34000,9.56444,0.403074,-43.4331015014,8.87774,44672.1,-0.971795,0.00112928,585000,94.6578,7300,-6.87336
-0.272658,4251.44,1.62701,103.14895270600027,1645.44,0.00390154,203203.0,-9.22889,5734.43,1630.97,-19.7360808044,-1672.01,-0.000606317,93.75005546000102,4290.71,2.18736,9.04228,8163.304876900006,0.407449,0.921622,0.260347,0.0579515,11.8714,31.929451623003843,228.82845978900514,14.0347,914.66357421875,14.3807,30041.5,91.46636199951172,39.2433,34,0.0020857,35000,7.86055,0.0609514,-56.6903826657,1.20741,30468.5,-1.36087,0.000977141,600000,18.1567,7500,-5.62627
-0.290951,2559.08,1.97995,104.91182243500043,1019.9,0.00404461,21264.8,-3.68672,11613.1,1028.77,338.02798699,-1053.48,-0.000280703,93.54781555000045,2548.04,1.90536,14.6145,8394.283450354003,0.690994,2.0,0.248129,0.143101,10.5358,32.031323915998655,230.49096190099954,10.2871,744.3833618164062,15.9436,20488.2,74.43833923339844,45.3606,35,0.00221188,36000,7.21236,0.0716593,-16.6221656239,1.50575,20235.9,-1.33543,0.000866487,615000,50.3806,7700,-7.86195
-0.184389,737.708,1.04508,102.53540930799863,151.088,0.00349182,1217.34,-4.28346,20480.7,186.568,469.208172649,-192.43,-0.0010452,94.03620731999945,617.253,-1.40255,14.8879,8621.887886134005,0.797577,2.0,0.138071,-0.0174137,6.90333,31.53764073000093,228.109257357999,8.42659,2547.119140625,16.8307,7603.6,254.7119140625,38.3456,36,0.00130766,37000,3.91841,0.415002,114.336646368,8.80085,8646.42,-1.33636,0.0010765,630000,61.1973,7900,-6.69714
-0.244228,3911.97,2.94567,102.94068186500044,1234.93,0.00408361,350584.0,-5.65142,1730.13,1199.42,239.057922862,-1228.74,-0.00256068,93.53196015699905,4032.49,1.07978,11.8717,8850.291119478003,0.707265,2.0,0.239714,0.169992,6.48816,31.452199782996104,227.9248418049956,1.04548,8109.5703125,18.2448,67314.5,810.95703125,41.351,37,0.000674204,38000,7.22136,0.0551661,37.8180200489,0.806703,62874.2,-1.6873,0.00202887,645000,235.793,8100,-7.18123
-0.275502,5291.31,4.13203,101.59893754800032,2126.71,0.00424214,424129.0,-12.3317,5482.49,2091.51,564.041287613,-2156.07,-0.00194777,94.0102856859994,5431.15,2.40842,14.8303,9077.910769675007,1.00909,2.0,0.289989,0.313347,4.49031,31.739159524004208,227.34838275800394,5.12305,3988.27783203125,17.4211,44634.7,398.8277893066406,46.0816,38,0.00146829,39000,8.39692,0.655935,42.0706217067,11.0366,42957.3,-1.73232,0.00154991,660000,118.096,8300,-4.98842
-0.241051,8707.34,4.67897,102.43666253899937,3381.39,0.00415877,346684.0,-4.76894,19563.6,3390.15,261.985657875,-3438.23,-0.00150012,94.28212727600112,8720.14,2.32654,14.627,9307.016555936007,0.949349,2.0,0.287377,0.472896,2.89004,31.823875404999853,228.54266522000034,-0.157962,9357.9150390625,18.3608,52649.6,935.79150390625,43.6077,39,0.000555913,40000,9.60408,0.214764,12.206329125,3.15468,52800.6,-1.62874,0.00174489,675000,124.893,8500,-4.70202
-0.238106,6548.71,2.99829,101.32981242200003,2231.15,0.00398724,82114.6,-8.63848,9066.18,2140.61,146.162866085,-2215.27,-0.00120892,94.8460171759998,6714.72,1.49673,12.4401,9535.167685940003,0.959493,2.0,0.267881,0.243532,3.23422,31.844833132998247,228.02066273099808,-6.86207,5413.7998046875,17.1445,50561.8,541.3800048828125,44.953,40,0.00099282,41000,8.28454,0.397125,18.8566904598,6.11074,49703.2,-1.95346,0.0014142,690000,82.8582,8700,-5.63492
-0.331265,5919.22,1.97517,101.97881696300101,2901.61,0.00405778,541712.0,-8.89406,20581.4,2758.65,261.808918902,-2839.2,-0.000979172,94.97682454700043,6093.71,3.05993,13.488,9763.825785470995,1.0478,2.0,0.303829,0.0173196,4.66465,31.843870113989396,228.79951162399084,-1.72217,4103.20166015625,17.6266,98615.4,410.3201599121094,45.397,41,0.00131534,42000,9.0948,0.0476977,-21.4037490974,0.396574,98251.7,-1.69637,0.00134503,705000,90.9685,8900,-5.30217
-0.270422,9530.47,1.57562,102.29272477099948,3742.4,0.00412151,1.93444e+06,-11.0092,5311.03,3662.0,-16.2627159212,-3751.72,-0.00076686,94.83577835199867,9721.36,1.72131,13.4052,9991.610262625,1.03104,2.0,0.243931,-0.0474407,5.02677,31.66597239800285,228.794475521001,-3.40828,7452.51904296875,19.3872,57063.3,745.2518920898438,45.9366,42,0.000832552,43000,8.26782,0.0930667,-35.5122961209,1.06086,56703.7,-1.15443,0.00148074,720000,28.2145,9100,-7.29722
-0.321625,7523.88,1.84769,102.9322452109991,2554.44,0.00389507,1.03517e+06,-9.93263,6074.2,2493.35,-32.6882338776,-2526.48,-0.000822835,93.82616064300055,7604.03,3.49534,10.4327,10219.717667910989,0.777256,2.0,0.286655,-0.0138949,6.83435,31.605201292992206,228.36360714699185,6.5149,6537.275390625,18.4949,54708.2,653.7275390625,42.5196,43,0.000989903,44000,8.86644,0.0469858,-44.942364721,0.435449,54185.6,-1.23022,0.00153108,735000,34.5337,9300,-5.04574
-0.213121,10937.9,8.8601,102.6021151169989,5059.58,0.00422774,1.72663e+06,-20.8414,162135.0,4815.68,-31.155134818,-4900.5,-0.000203462,93.57103633499901,11393.0,2.51239,8.37477,10447.688470230998,0.606129,2.0,0.31803,0.997317,5.8807,31.56269099000565,227.73584244200356,1.66901,3883.61767578125,19.1397,54249.8,388.3617858886719,45.798,44,0.0012246,45000,11.2545,0.0326569,-42.5856657661,0.185359,53509.5,-1.15634,0.00114266,750000,142.209,9500,-4.9963
-0.208647,3633.03,1.12408,103.17166081100004,1285.05,0.00405454,45791.4,-5.04735,12586.3,1198.56,-29.0477065297,-1246.17,-9.30335e-05,93.80674133399953,3845.63,-0.282878,9.76707,10676.688179048993,0.69257,0.300168,0.228064,-0.00654372,8.10476,31.739470066995636,228.7178722119952,0.128675,4563.5078125,20.1714,26729.4,456.3507995605469,26.2978,45,0.00101929,46000,6.57297,0.790825,-38.8360341338,10.8921,25761.8,-1.71292,0.000937155,765000,8.34221,9700,-5.64362
-0.224159,7219.38,3.77708,102.37501816300028,1931.47,0.00401625,580146.0,-32.3154,7242.23,1928.86,-30.4574879442,-1947.81,9.38582e-05,94.08906849599953,7196.67,1.18947,7.38661,10904.842066437992,0.514162,2.0,0.270988,0.180101,7.30715,31.944181236998702,228.4082678959985,0.870533,3799.408935546875,19.0972,46275.7,379.9408874511719,44.4734,46,0.000988442,47000,8.64816,0.498711,-39.0681169583,7.05545,45724.5,-1.32821,0.000874067,780000,112.296,9900,-7.5772
-0.174988,1478.34,0.761932,102.8657925360003,389.108,0.00398315,5754.26,-4.15216,1207.72,375.464,-29.9377991614,-386.939,7.22543e-05,93.83536287300012,1531.62,-1.54775,6.60153,11133.199625971994,0.463128,-0.102386,0.145058,-0.0561269,7.57208,31.82248231500307,228.5236377240035,6.63361,2945.047607421875,20.8534,12055.7,294.5047607421875,21.6145,47,0.00113758,48000,4.4417,0.715944,-39.3463471064,10.2843,11556.5,-1.42707,0.000813642,795000,3.82325,10100,-4.93786
-0.240854,8214.37,1.43912,102.52620364999893,2818.9,0.00409337,750249.0,-4.68212,33423.4,2829.47,-33.3355532486,-2881.27,-3.08431e-06,93.66928591200121,8219.52,1.08535,8.79814,11361.004720067986,0.602837,0.0141663,0.22038,0.12479,8.51148,31.575030681991848,227.770520243992,4.72725,2319.445068359375,19.8177,47909.2,231.9445037841797,33.4927,48,0.00143532,49000,8.25759,0.108727,-39.3270514256,1.37516,48494.7,-1.35209,0.000847324,810000,11.122,10300,-6.52856
