QF Loss,Number of train steps total,Q Predictions Max,AverageReturn_all_train_tasks,Log Pis Std,Z mean train,R Predictions Min,Z variance train,VF Loss,Policy log std Max,Policy log std Std,RF Loss,Total Train Time (s),Policy log std Min,Epoch,V Predictions Std,Epoch Time (s),Number of rollouts total,KL Loss,Policy mu Max,Q Predictions Std,V Predictions Min,Q Predictions Mean,Policy mu Std,Q Predictions Min,Log Pis Mean,Policy Loss,(Previous) Eval Time (s),R Predictions Max,Log Pis Max,V Predictions Mean,Z mean eval,R Predictions Std,V Predictions Max,Policy mu Min,R Predictions Mean,KL Divergence,Number of env steps total,Train Time (s),Policy log std Mean,Sample Time (s),Log Pis Min,Policy mu Mean,Z variance eval,AverageReturn_all_test_tasks
1.49994e+08,39000,171799.0,28748.8352772,6.72504,4.70902,-0.000760186,0.000317235,542664.0,2.0,1.3671,266712.0,9221.408284488025,-3.22479,38,36251.2,232.4360976890075,8300,337.9306335449219,121.195,36492.0,52576.2,120248.0,26.0101,51991.9,33.0765,-122046.0,94.06592479499886,0.000709318,46.3155,121625.0,4.57333,0.000321674,172399.0,-45.6959,2.61993e-06,3379.306396484375,660000,106.56579271800001,0.264544,31.804380176008635,-0.296269,5.90556,0.00010844,31498.2308726
1.83433e+08,40000,171533.0,13667.6377247,7.85253,4.55172,-0.000500622,0.000108404,1.73502e+06,2.0,1.43392,302149.0,9453.532073486029,-4.04543,39,35383.2,231.99706656200215,8500,339.2203369140625,119.542,35554.6,51975.8,120359.0,27.1261,51509.4,32.4572,-122662.0,94.12234480199913,0.000788296,47.629,121470.0,4.40232,0.000369764,171138.0,-40.4221,5.7333e-05,3392.203369140625,675000,106.29099997099911,0.145163,31.583721789003903,-1.62229,7.46183,0.000173195,13564.5034133
2.06259e+08,41000,168784.0,9263.80852095,6.67549,4.59223,-0.000694663,0.000394743,483530.0,2.0,1.4796,418452.0,9686.398260719023,-3.66927,40,34805.4,233.0215989359931,8700,332.51837158203125,115.248,34745.9,44014.1,124633.0,25.1897,43562.0,33.22,-126633.0,94.2492237589995,0.000741564,48.0817,126193.0,4.58798,0.00034746,169132.0,-42.7719,5.24322e-05,3325.18359375,690000,107.04074305300128,0.181413,31.731632123992313,1.1446,6.05235,5.56558e-05,4226.48906537
2.37462e+08,42000,187375.0,23650.6801271,6.58313,4.51628,-0.00116014,0.000107887,642230.0,2.0,1.59594,287500.0,9918.458812685018,-4.0182,41,34113.1,232.16949635999845,8900,365.66656494140625,127.16,33804.4,52624.0,127759.0,29.0528,51801.0,33.0013,-129435.0,94.09462059699945,0.000905726,48.7869,129320.0,4.64577,0.000464445,188451.0,-46.9254,-0.00011463,3656.66552734375,705000,106.34847916900071,0.0541808,31.726396593998288,0.936671,6.28093,7.11782e-05,30636.1835825
2.05001e+08,43000,193555.0,16533.8135803,9.04251,5.55984,-0.00120191,0.000743902,315777.0,2.0,1.51905,344518.0,10151.165603934027,-3.64351,42,36116.5,232.4356595350091,9100,347.100341796875,150.513,36185.8,51045.1,123222.0,31.2378,50483.1,32.1726,-124574.0,93.9858378810004,0.00104534,52.025,124520.0,4.01292,0.00045956,193089.0,-43.0977,-8.44599e-05,3471.00341796875,720000,106.69158670300021,0.174822,31.75823495100849,1.70818,9.55426,0.000113889,24223.0478874
2.56848e+08,44000,187972.0,13346.5254347,9.30733,5.17503,-0.000959134,0.000447515,884679.0,2.0,1.55819,243924.0,10383.71495223303,-4.03611,43,30455.9,232.9722596080046,9300,353.5713806152344,175.883,30597.4,43722.8,124887.0,32.7925,42559.2,32.9224,-126776.0,94.2581176929998,0.000792237,53.5487,126148.0,4.00399,0.000530854,187144.0,-54.8612,-0.000163367,3535.7138671875,735000,106.84444937700027,0.00629355,31.86969253800453,-1.78513,7.00626,0.000117666,36768.6479479
1.82956e+08,45000,183530.0,75480.0756496,8.53332,4.95716,-0.00101162,0.000580888,612999.0,2.0,1.62848,402947.0,10615.828669009017,-3.3706,44,37677.4,232.06055810198995,9500,340.3370056152344,179.667,37808.0,33334.8,119710.0,34.3293,32991.7,36.0288,-121017.0,93.83567826000035,0.000851166,51.4523,120485.0,4.23812,0.000568275,182189.0,-61.4804,-4.76228e-05,3403.3701171875,750000,106.61297872700015,0.201761,31.61190111498945,2.57226,8.6632,0.00149842,71844.6191208
2.39155e+08,46000,181647.0,39754.5044739,8.51523,4.07101,-0.000926374,0.000166375,429357.0,2.0,1.51494,688362.0,10848.306805737015,-3.71196,45,35391.8,232.6843585929946,9700,327.2383728027344,192.312,35536.6,51953.9,123886.0,38.8997,51312.2,37.2793,-125507.0,93.8897671099985,0.000555875,50.7493,125202.0,4.40628,0.000447362,180838.0,-58.4956,-0.000173531,3272.383544921875,765000,106.94998260700049,0.544259,31.84460887599562,1.25061,13.7867,0.000927108,54406.1422695
2.00134e+08,47000,176381.0,48159.0441898,8.62704,4.56175,-0.00108378,0.00139861,276939.0,2.0,1.63372,402863.0,11080.04177274402,-3.94619,46,36686.7,231.5535368400033,9900,329.0839538574219,183.023,36667.0,43256.9,122267.0,38.784,42716.1,36.5568,-124322.0,93.68373266799972,0.000844593,52.3769,124123.0,4.42112,0.000513054,176156.0,-63.1991,-0.000280081,3290.83935546875,780000,106.2809180209988,0.479488,31.588886151004772,-0.0653524,13.5123,0.000471592,42394.9495826
1.61238e+08,48000,193224.0,46758.9357075,9.39038,4.04212,-0.00095501,0.000207892,661001.0,2.0,1.55162,1.51824e+06,11312.403070042023,-3.90461,47,37127.4,232.03515733300628,10100,315.3257751464844,152.319,36907.8,10939.6,122068.0,34.2526,9521.32,34.513,-124111.0,93.8653847300011,0.000851923,54.7746,123819.0,4.1069,0.000407081,192275.0,-68.8938,-1.15967e-05,3153.2578125,795000,106.4414850230005,0.295545,31.72828758000469,-1.25344,9.11516,0.000598962,61828.6144909
